riaju,4,76,27
riajuu,5,60,21
onna,6,57,22
test,6,50,22
test,6,57,22
senshu,5,60,21
test,5,60,21
agu-miss,7,70,19
test,7,70,19
rikadai,2,27,13
rikadai,1,54,27
busu,1,55,35
geinin,1,67,25
hiro,1,70,28
ikemen,1,97,34
me,1,83,18
abe,1,51,19
kyaba,2,53,23
agu-mister2014,6,86,23
agu_misters2014,6,86,23
keio-miss2014,6,98,23
oizumi-yo,1,93,30
ariyoshi,1,16,40
degawa,1,21,41
ega,1,7,36
ikemen,1,78,27
momokuro,5,96,20
smap,5,74,33
tokio,5,84,34
kimoota,1,5,23
obo,1,76,22
obo,1,76,22
hikakin,1,49,25
max-murai,1,42,35
megwin,1,24,28
sekaowa,3,84,33
tidori,2,87,31
yozawa,1,51,26
me,1,83,18
miss-busu,1,98,15
matsuko,1,9,42
matuko,1,9,42
aoyama-miss2013,6,95,23
otasa-,6,58,27
otaku,6,9,23
gakuto,1,97,31
yozawa,1,44,26
riaju,10,59,28
otasa-hime,5,35,18
otasa-no-hime,5,35,18
test,5,80,26
otasa-,5,35,18
riaju,9,72,23
riaju,3,82,22
hiria,2,62,19
iwao,1,4,36
busao,1,18,16
agu-ekiden,16,52,21
test,16,52,21
kuniasa,1,70,29
kunimasa,1,70,29
iijima,1,60,54
kiyonari,1,63,34
maeatu,1,71,27
busu,1,97,20
sasakinozomi,1,99,21
himura,1,99,31
arimura,1,93,22
sa-kuru,8,72,29
